year,lat,long,catch,weight
2017,50.88833333,53.27,33.77777778,4.302222222
2017,51.01333333,53.85666667,1,0.05
2017,51.04166667,54.79,0,0
2017,51.25166667,54.37,0,0
2017,51.565,53.95166667,0,0
2017,51.60666667,53.64833333,0,0
2017,51.505,53.71666667,0,0
2017,51.44833333,53.62666667,0,0
2017,51.26,53.665,0,0
2017,51.11833333,53.58666667,0,0
2017,51.44833333,53.43,0,0
2017,51.29166667,53.18,2,0.26
2017,51.09666667,52.08666667,0,0
2017,51.06333333,51.99166667,1,0.5
2017,51.90666667,52.21333333,4,2.4
2017,51.78,52.935,1,0.6
2017,51.73666667,52.71333333,1,0.33
2017,51.43333333,52.90833333,0,0
2017,51.525,52.63833333,16.88888889,3.431111111
2017,51.45166667,51.89833333,3.555555556,0.675555556
2017,51.395,51.70166667,20.44444444,4.044444444
2017,50.92666667,50.85333333,0,0
2017,50.89333333,50.76666667,3,1.03
2017,50.72166667,50.88166667,4.571428571,2.251428571
2017,50.65,51.51833333,2,1.51
2017,50.58166667,50.79666667,8,3.3
2017,53.44666667,55.43666667,0,0
2017,52.94666667,55.51333333,0,0
2017,52.99,55.32666667,0,0
2017,52.885,55.26,0,0
2017,55.29666667,56.57666667,0,0
2017,55.32833333,56.31833333,0,0
2017,55.295,55.58666667,0,0
2017,55.15166667,55.58833333,0,0
2017,55.01333333,55.39833333,0,0
2017,54.885,55.61666667,0,0
2017,54.87833333,56.10666667,0,0
2017,55.065,56.99666667,0,0
2017,55.015,57.28333333,0,0
2017,55.24,57.68,0,0
2017,55.21333333,58.235,0,0
2017,55.21333333,57.755,0,0
2017,54.57666667,56.025,1,0.46
2017,54.60333333,56.14333333,0,0
2017,54.56166667,56.22666667,0,0
2017,54.37833333,55.95333333,0,0
2017,54.03333333,56.07833333,0,0
2017,54.03166667,55.805,0,0
2017,54.19333333,55.88166667,0,0
2017,54.39833333,55.76166667,0,0
2017,54.16666667,55.44333333,0,0
2017,54.24333333,55.08333333,0,0
2017,54.32333333,54.815,0,0
2017,54.19333333,54.835,0,0
2017,54.15,54.60166667,0,0
2017,53.935,55.49,0,0
2017,53.76833333,55.36333333,0,0
2017,53.75,55.695,0,0
2017,53.63666667,55.235,0,0
2017,53.53666667,55.115,0,0
2017,53.565,54.80833333,0,0
2017,52.90666667,54.88333333,0,0
2017,52.52166667,54.86,0,0
2017,52.325,54.83166667,0,0
2017,51.59,55.24666667,0,0
2017,52.2,55.08,0,0
2017,52.22833333,54.195,0,0
2017,52.27,54.07666667,0,0
2017,52.22166667,53.86166667,1,0.59
2017,52.19666667,53.91833333,0,0
2017,52.07833333,54.36666667,0,0
